id,skill
104793245,Системная интеграция
104793245,Apache Camel
102433289,Python
102433289,SQL
102433289,Flask
102433289,PostgreSQL
102433289,Redis
104366427,Power BI
104366427,SQL
104366427,MS SQL
104366427,MS Visio
104366427,MS Power BI
104366427,Визуализация данных
104366427,Аналитическое мышление
104366427,Анализ данных
104366427,Работа с большим объемом информации
104792978,Организаторские навыки
104792978,Обучение детей
104792978,Грамотная речь
104792978,Преподаватель
104792978,Работа в команде
104792978,Математика
104792978,Репетитор
104792978,Junior - разработчик
104792978,Unity
104147200,Анализ данных
104147200,MS Excel
104147200,Аналитическое мышление
104147200,Работа в команде
104147200,Мониторинг цен
104147200,Мониторинг рынка
104147200,Алгоритмы
104147200,Управление проектами
104147200,Аналитические исследования
104147200,Сбор и анализ информации
104147200,Аналитика
93600254,ETL
93600254,Аналитическое мышление
93600254,Анализ данных
103468206,Бизнес-анализ
103468206,Анализ данных
103468206,Аналитика
103468206,Аналитические исследования
103468206,Power BI
99215083,Тестирование
101159533,Портфельный анализ
101159533,"математические модели (PD, LGD)"
101159533,Python
101159533,SQL
93170607,Обучение и развитие
93170607,Моделирование процессов
93170607,Aspen Hysys
93170607,R&D
93170607,ANSYS CFX
93170607,Английский — B1 — Средний
102868689,Python
102868689,Linux
102868689,Работа в команде
104519714,SQL
104519714,Python
104519714,Power BI
103597905,PostgreSQL
103597905,Redis
103597905,Docker
103597905,Руководство коллективом
103597905,Управление командой
103597905,Python
103597905,Git
103597905,Linux
103960526,Git
103960526,Python
103960526,Linux
103960526,Docker
103960526,Pytest
103960526,Selenoid
103960526,Page Object
103960526,Allure
103960526,Terraform
103960526,Selenium
101278788,Linux
101278788,Python
101278788,Zabbix
101278788,СУБД
101905161,KVM
101905161,OpenStack
101905161,Ansible
104321570,Администрирование серверов Linux
104321570,VMware
104321570,KVM
104321570,Zabbix
104321570,PostgreSQL
104321570,Автоматизация процессов
104321570,Техническая документация
104321570,Cистемы управления базами данных
104433157,SQL
104433157,Python
104433157,Firebase
104433157,A/B тесты
103506109,SQL
103506109,Python
104531578,MS SQL
104531578,Управление командой
104531578,Аналитическое мышление
104531578,Стратегическое мышление
104016486,Работа в команде
104016486,SQL
104016486,OLAP
104016486,Python
104016486,Power BI
103513023,Базы данных
103513023,MS SQL
103513023,SSRS
103513023,SSIS
103513023,SSAS
103513023,Работа с базами данных
103513023,Git
103669011,SQL
103669011,Python
103669011,A/B тесты
103669011,Проведение экспериментов
103669011,Анализ данных
103669011,pandas
103669011,Clickhouse
103669011,Прогнозирование
92684864,"ГИС Zulu, Termis"
92684864,BI и ГИС-системы
67546181,SQL
67546181,Atlassian Jira
67546181,Atlassian Confluence
67546181,Python
67546181,Java
100637767,Python
100637767,JavaScript
100637767,Debian
100637767,Ubuntu Server
100637767,PostgreSQL
100637767,MongoDB
103201315,MySQL
103201315,SQL
103201315,Java
103201315,Работа с базами данных
103201315,Разработка инструкций
103201315,Разработка ПО
104078152,SQL
104078152,Python
104078152,Tableau
104078152,Power BI
97626674,PowerBI
97626674,Отчетность
97626674,Python
97626674,SQL
97626674,Работа с большим объемом информации
97626674,Аналитика
104227033,Python
104227033,C++
104227033,PyTorch
104227033,OpenCV
104227033,Linux
104227033,Protobuf
104227033,RabbitMQ
104227033,Redis
104227033,PostgreSQL
103737287,Маркетинговые исследования
103737287,Маркетинговые коммуникации
103737287,Маркетинговое планирование
103737287,Маркетинговый анализ
103737287,Прогнозирование
103737287,Работа с базами данных
103737287,Статистика
103737287,Аналитические исследования
103737287,Анализ рынка
103737287,Аналитическое мышление
103796313,Python
103796313,PostgreSQL
103796313,Docker
103796313,Управление командой
103796313,FastAPI
85216340,Tableau
85216340,SQL
85216340,Python
85216340,SAP Business Objects
85216340,Аналитическое мышление
85216340,Сбор и анализ информации
85216340,BI
103129620,C++
103129620,Linux
103129620,QNX
90981252,Autodesk Revit
90981252,Autodesk Navisworks
90981252,Autodesk BIM 360
90981252,Проектирование зданий и сооружений
90981252,Dynamo
90981252,BIM
101871526,SQL
101871526,Python
101871526,Математическая статистика
101871526,Проверка статистических гипотез
99575301,PHP
99575301,Yii
99575301,Laravel
99575301,Docker
99575301,MySQL
99575301,RabbitMQ
99575301,MongoDB
99575301,Go
99575301,Elasticsearch
99575301,Python
99575301,TypeScript
100511839,Базы данных
100511839,HTML/CSS
100511839,Python
100511839,SQL
100511839,PostgreSQL
100511839,ООП
100511839,C++
99009576,Cisco
99009576,Linux
99009576,Администрирование серверов Linux
99009576,Администрирование серверов Windows
99009576,TCP/IP
99009576,Администрирование сетевого оборудования
99009576,Антивирусная защита сети
103762221,Тестирование
103762221,AQA
103762221,Python
103762221,Pytest
103762221,Git
103762221,Nexus
94058653,Teamleading
94058653,Разработка
98905448,Ansible
98905448,Python
98905448,Git
98905448,Elasticsearch
98905448,Filebeat
98905448,Diamond
98905448,Telegraf
98905448,Linux
98905448,TeamCity
98905448,Bash
98905448,Graphite
98905448,Grafana
98905448,Sentry
98905448,GitLab CI
98905448,ELK
103464907,Linux
98627472,Аналитическое мышление
98627472,Разработка технических заданий
98627472,Системный анализ
98627472,REST API
98627472,BPMN
98627472,UML
98627472,SQL
96536277,Linux
96536277,Python
96536277,Bash
96536277,TCP/IP
96536277,модель OSI
104013024,Аналитика
104013024,Сбор и анализ информации
104013024,Аналитическое мышление
104013024,SQL
104013024,Работа с большим объемом информации
104013024,Анализ рынка
104013024,ABC-анализ
104013024,Маркетплейсы
104013024,Аналитические исследования
104013024,Python
103230211,Тестирование
103230211,Test case
97227292,SQL
97227292,DevTools
97227292,Postman
104614516,Исследовательский анализ данных
104614516,Проверка статистических гипотез
104614516,MS SQL
104614516,CTE
104614516,Python
85719247,MS SQL
85719247,Transact-SQL
85719247,C#
85719247,OLAP
85719247,ETL
85719247,SQL
85719247,JSON
85719247,SSIS
85719247,SSAS
85719247,SSRS
85719247,DAX
103924208,PySpark
103924208,SQL
103924208,Hadoop
103924208,Python
102256987,Linux
102256987,Zabbix
90895726,SQL
90895726,UML
90895726,Atlassian Jira
90895726,BPMN
90895726,Python
90895726,Java
90895726,Системный анализ
90895726,ORACLE
90895726,Аналитические навыки
90895726,Организаторские навыки
90895726,Разработка технических заданий
90895726,Написание технических заданий
90895726,Описание бизнес-процессов
90895726,Jira
90895726,Навыки работы с большим объемом информации
93815129,Golang
93815129,HighLoad
94369340,PostgreSQL
94369340,Linux
94369340,Информационная безопасность
94369340,Jatoba
94369340,СУБД
94369340,Docker
94369340,Bash
94369340,Автоматизация процессов
94369340,Zabbix
94369340,Security Awareness
94369340,PowerShell
94369340,Windows
103559790,Python
103559790,JavaScript
103559790,Архитектура
103559790,SQL
103559790,Базы данных
103559790,PostgreSQL
103559790,Постановка задач разработчикам
103559790,Управление командой
101158455,Python
101158455,SQL
101158455,Статистический анализ
101158455,Работа с базами данных
101158455,Анализ данных
101158455,Подготовка презентаций
101158455,Аналитическое мышление
104579103,BI
104579103,Big Data
104579103,SQL
104579103,DWH
95608955,MS SQL
95608955,Разработка ПО
95608955,C#
104062746,Python
104062746,MS SQL
104062746,Linux
104062746,Java
104062746,СУБД
104062746,Bash
104062746,PowerShell
104062746,Проведение тестирований
104062746,Информационная безопасность
104062746,Пентестер
104062746,Pentest
